sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,bonus,pctaff,period,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstin,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type,status,date,special
1,1,0,1,0,1,0,0,0,0,0,80,1,0,16,30,4,4.5,,.25,"both",7,16,.93000001,.82999998,.85000002,4,3,1,1,110592,0
1,1,0,1,0,1,0,0,0,0,0,80,2,,20,40,4,5.0500002,,,"reduced",7,16,1.05,.79000002,.89999998,4,3,,,,
2,1,0,1,0,1,0,0,0,0,1,80,1,0,10,6,3,4.75,26,.5,"free",7,14,1.0599999,.91000003,.95999998,2,2,1,1,110592,1
2,1,0,1,0,1,0,0,0,0,1,80,2,,7.5,10,3,5.25,19,.38,"free",7,15,1.05,1.01,.94,2,2,,,,
3,2,0,1,0,1,0,0,0,0,1,50,1,3,6,13,3,4.25,13,.25,"reduced",11,10,1.0599999,.94999999,3.0899999,5,3,1,1,111792,0
3,2,0,1,0,1,0,0,0,0,1,50,2,2,4,7,3,5.0500002,26,.25,"free",11,11,1.05,.94,2.75,5,3,,,,
4,3,0,1,0,1,0,0,0,0,0,50,1,0,10,12,3,4.75,4,.25,"reduced",9,12.5,1.0599999,1,2.1300001,8,4,1,1,110592,0
4,3,0,1,0,1,0,0,0,0,0,50,2,,5,30,4,5.0500002,26,.28,"reduced",8,13.5,1.22,1.37,.88999999,6,4,,,,
5,3,0,1,0,1,0,0,0,0,0,,1,0,5,30,4,4.5,13,.17,"free",6,17,.94999999,,2.1300001,5,4,1,1,111892,0
5,3,0,1,0,1,0,0,0,0,0,,2,2,10,30,4,5.1500001,4,.18000001,"reduced",6,17,1.05,.94,.94,5,5,,,,
6,3,1,1,0,1,0,0,0,0,0,100,1,2,2,2,2,5,13,.25,"free",11,7,1.2,1.17,2.3499999,4,2,1,1,111792,0
6,3,1,1,0,1,0,0,0,0,0,100,2,1,5,2,2,5.0500002,13,.15000001,"free",10,8,1.11,1.01,2.23,4,2,,,,
8,4,0,1,0,1,0,0,0,0,0,,1,0,,25,4,4.8000002,,.15000001,"free",10.5,12,1.02,.91000003,2.28,2,1,1,1,110592,0
8,4,0,1,0,1,0,0,0,0,0,,2,,15,25,3,5.0500002,26,.33000001,"reduced",10,13,1.01,1.01,.94,2,2,,,,
